"teks","label"
"Kaka tidur yaa, udah pagi, gaboleh capek2","no"
"makan nasi padang aja begini badannya","no"
"Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa","no"
"Manusia apa bidadari sih herann deh cantik terus ????","no"
"Gemesnya isyan kayak tango, berlapis lapis ciaaaa","no"
"Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu","no"
"Setengah iri setengah jadi motivasi ini","no"
"Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw","no"
"Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss","no"
"Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri","no"
"Kalau pas penempatannya, sebenernya kamu imut banget loh mel.","no"
"Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,","no"
"Bagusan foto pakai masker drpd gak pakai masker","no"
"Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi","no"
"Semoga lancar terus usahanya mel","no"
"Cantik banget kalo meldi muka natural kek gini","no"
"Lu diem aja cantik mel kalo ga banyak gaya serius","no"
"Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say","no"
"Kok mbak meldi sekarang tambah cantik ya rahasianya apa..","no"
"Fix yang komen semua nyela","no"
"Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya","no"
"Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan","no"
"Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi","no"
"Semua wanita cantik, jangan suka merasa lebih ah","no"
"Gila Netizen pada sempurna ngehina orang terus","no"
"Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…","no"
"Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya","no"
"Mbak mell sehat dan sukses ya","no"
"Aamiin. Doa baik juga untuk Meldi","no"
"Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin","no"
"Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip","no"
"Lama lama mirip dewi persik ya","no"
"pada julid padahal kan meldi gak nyusahin kalian","no"
"Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya","no"
"Tambah cantik aja rosa meldianti","no"
"Saya kok suka ya sama mereka harmonis","no"
"Cantik banget kalau pakai baju kayak gitu","no"
"Jujur ya kamu kalo anteng ga buat masalah cantik mel","no"
"Dari sekian banyak foto yang diposting, ini yang paling cantik","no"
"Masyaallah cantik terlihat sopan dan anggun","no"
"Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin","no"
"makin cantik mel, semangat dietnyaa","no"
"Mel disini kamu keliatan cakep","no"
"salfok sama kaki, tapi cantik banget asli","no"
"heran sama netizen klo gk suka jangan diliat aja","no"
"sukses selalu yah ka @rosameldianti_ semangat","no"
"Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang","no"
"Berkarya teros meldi walo ga ada yg nuntun kamu.","no"
"Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.","no"
"Unfoll aja daripada kalian dosa ngebully2 terus..","no"
"Meldi aku perhatikan kamu seperti orang china deh.. cantik","no"
"Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan","no"
"Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa","no"
"Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu","no"
"Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang","no"
"Kereennnn.. dari bully.an netizen menjadikanmu mau belajar","no"
"Semangat untuk belajar ya… saya uga gak bisa bahasa inggris","no"
"Yang penting ada niat.. dan keberanian","no"
"Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..","no"
"Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_","no"
"Setidaknya dia ngaku. bukan belagak pintar","no"
"Cuma di postingan ini ya bund netizen sedikit yang menghujat","no"
"Happy birthday Mel sehat dan Sukses yah, Aamiin","no"
"Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu","no"
"Selamat ulang tahun mel, udah yah jangan banyak tingkah","no"
"Selamat ulang tahun meldi sukses dan sehat terus ya….","no"
"Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan","no"
"HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin","no"
"Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin","no"
"Hbd cantik semoga kedepannya tambah sukses","no"
"Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu","no"
"berdiri di kaki sendiri lebih baik","no"
"Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat","no"
"Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel","no"
"Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja","no"
"Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.","no"
"meldi makin bersinar yaaa, pertahanin karir jgn di sia siain","no"
"Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..","no"
"Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..","no"
"Di maafin aaa… semoga dia jera untuk kedepannya…","no"
"Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya","no"
"Okay bro kalem aja, tetap semangat dan jangan putus asa","no"
"Pada ribet kayak udah pada benar aja lu semua","no"
"Jangan ada hitam diatas putih. Langsung proses","no"
"Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian","no"
"Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang","no"
"Jangan patah semngat kak sukses terus","no"
"Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan","no"
"Sumpah sekarang aku respect banget sama kamu","no"
"Menurutku pribadi, dia tulus minta maafnya….","no"
"Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol","no"
"Hapus ajh ni poto ngk tau malu bgt lu bang","no"
"kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih","no"
"Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?","no"
"Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih","no"
"Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss","no"
"Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo","no"
